Self-playing 100000 games with the heuristic solver…

  31500/100000  (335.9s)   
  31550/100000  (336.2s)   
  31600/100000  (337.0s)   
  31650/100000  (337.8s)   
  31700/100000  (338.4s)   
  31750/100000  (338.9s)   
  31800/100000  (339.2s)   
  31850/100000  (340.0s)   
  31900/100000  (340.8s)   
  31950/100000  (341.3s)   
  32000/100000  (342.0s)   
  32050/100000  (342.4s)   
  32100/100000  (343.3s)   
  32150/100000  (344.0s)   
  32200/100000  (344.6s)   
  32250/100000  (345.3s)   
  32300/100000  (345.7s)   
  32350/100000  (346.3s)   
  32400/100000  (346.6s)   
  32450/100000  (347.5s)   
  32500/100000  (348.0s)   
  32550/100000  (348.6s)   
  32600/100000  (349.1s)   
  32650/100000  (349.6s)   
  32700/100000  (350.0s)   
  32750/100000  (350.6s)   
  32800/100000  (351.0s)   
  32850/100000  (351.3s)   
  32900/100000  (352.0s)   
  32950/100000  (352.7s)   
  33000/100000  (353.1s)   
  33050/100000  (353.6s)   
  33100/100000  (354.0s)   
  33150/100000  (354.6s)   
  33200/100000  (354.9s)   
  33250/100000  (355.4s)   
  33300/100000  (355.9s)   
  33350/100000  (356.9s)   
  33400/100000  (357.6s)   
  33450/100000  (358.0s)   
  33500/100000  (358.4s)   
  33550/100000  (359.4s)   
  33600/100000  (360.0s)   
  33650/100000  (360.3s)   
  33700/100000  (360.7s)   
  33750/100000  (361.3s)   
  33800/100000  (361.7s)   
  33850/100000  (362.0s)   
  33900/100000  (362.2s)   
  33950/100000  (362.6s)   
  34000/100000  (363.5s)   
  34050/100000  (363.9s)   
  34100/100000  (364.9s)   
  34150/100000  (365.8s)   
  34200/100000  (366.1s)   
  34250/100000  (366.4s)   
  34300/100000  (367.3s)   
  34350/100000  (367.8s)   
  34400/100000  (368.3s)   
  34450/100000  (368.9s)   
  34500/100000  (369.4s)   
  34550/100000  (369.8s)   
  34600/100000  (370.4s)   
  34650/100000  (371.3s)   
  34700/100000  (371.9s)   
  34750/100000  (372.4s)   
  34800/100000  (372.8s)   
  34850/100000  (373.1s)   
  34900/100000  (373.6s)   
  34950/100000  (374.1s)   
  35000/100000  (374.6s)   
  35050/100000  (375.2s)   
  35100/100000  (375.9s)   
  35150/100000  (376.8s)   
  35200/100000  (377.5s)   
  35250/100000  (378.4s)   
  35300/100000  (378.9s)   
  35350/100000  (379.4s)   
  35400/100000  (379.7s)   
  35450/100000  (380.3s)   
  35500/100000  (380.7s)   
  35550/100000  (381.8s)   
  35600/100000  (382.2s)   
  35650/100000  (383.1s)   
  35700/100000  (383.6s)   
  35750/100000  (384.2s)   
  35800/100000  (384.8s)   
  35850/100000  (385.2s)   
  35900/100000  (385.7s)   
  35950/100000  (386.2s)   
  36000/100000  (386.6s)   
  36050/100000  (387.0s)   
  36100/100000  (387.6s)   
  36150/100000  (387.9s)   
  36200/100000  (388.2s)   
  36250/100000  (389.0s)   
  36300/100000  (389.6s)   
  36350/100000  (390.2s)   
  36400/100000  (390.4s)   
  36450/100000  (391.0s)   
  36500/100000  (391.9s)   
  36550/100000  (392.6s)   
  36600/100000  (393.4s)   
  36650/100000  (393.9s)   
  36700/100000  (394.7s)   
  36750/100000  (395.4s)   
  36800/100000  (395.6s)   
  36850/100000  (396.1s)   
  36900/100000  (396.9s)   
  36950/100000  (397.5s)   
  37000/100000  (398.2s)   
  37050/100000  (398.8s)   
  37100/100000  (399.5s)   
  37150/100000  (399.9s)   
  37200/100000  (400.4s)   
  37250/100000  (401.1s)   
  37300/100000  (401.5s)   
  37350/100000  (401.9s)   
  37400/100000  (402.3s)   
  37450/100000  (402.8s)   
  37500/100000  (403.3s)   
  37550/100000  (403.9s)   
  37600/100000  (404.6s)   
  37650/100000  (405.2s)   
  37700/100000  (405.8s)   
  37750/100000  (406.2s)   
  37800/100000  (406.6s)   
  37850/100000  (407.1s)   
  37900/100000  (408.0s)   
  37950/100000  (408.5s)   
  38000/100000  (409.0s)   
  38050/100000  (409.3s)   
  38100/100000  (409.8s)   
  38150/100000  (410.3s)   
  38200/100000  (410.6s)   
  38250/100000  (411.1s)   
  38300/100000  (412.3s)   
  38350/100000  (412.9s)   
  38400/100000  (413.6s)   
  38450/100000  (414.4s)   
  38500/100000  (414.9s)   
  38550/100000  (415.4s)   
  38600/100000  (415.9s)   
  38650/100000  (416.3s)   
  38700/100000  (417.0s)   
  38750/100000  (417.6s)   
  38800/100000  (418.4s)   
  38850/100000  (419.1s)   
  38900/100000  (419.6s)   
  38950/100000  (420.3s)   
  39000/100000  (420.8s)   
  39050/100000  (421.3s)   
  39100/100000  (422.4s)   
  39150/100000  (422.8s)   
  39200/100000  (423.8s)   
  39250/100000  (424.2s)   
  39300/100000  (425.5s)   
  39350/100000  (426.3s)   
  39400/100000  (427.2s)   
  39450/100000  (427.4s)   
  39500/100000  (427.9s)   
  39550/100000  (428.2s)   
  39600/100000  (428.5s)   
  39650/100000  (429.0s)   
  39700/100000  (429.6s)   
  39750/100000  (430.2s)   
  39800/100000  (430.7s)   
  39850/100000  (430.9s)   
  39900/100000  (431.6s)   
  39950/100000  (432.3s)   
  40000/100000  (432.8s)   
  40050/100000  (433.6s)   
  40100/100000  (434.1s)   
  40150/100000  (435.3s)   
  40200/100000  (436.0s)   
  40250/100000  (436.7s)   
  40300/100000  (437.3s)   
  40350/100000  (437.6s)   
  40400/100000  (438.3s)   
  40450/100000  (439.1s)   
  40500/100000  (440.0s)   
  40550/100000  (440.4s)   
  40600/100000  (441.4s)   
  40650/100000  (442.4s)   
  40700/100000  (442.8s)   
  40750/100000  (443.6s)   
  40800/100000  (444.4s)   
  40850/100000  (444.9s)   
  40900/100000  (445.6s)   
  40950/100000  (446.4s)   
  41000/100000  (447.1s)   
  41050/100000  (448.2s)   
  41100/100000  (448.7s)   
  41150/100000  (449.0s)   
  41200/100000  (449.8s)   
  41250/100000  (450.3s)   
  41300/100000  (451.1s)   
  41350/100000  (452.0s)   
  41400/100000  (452.5s)   
  41450/100000  (453.0s)   
  41500/100000  (453.3s)   
  41550/100000  (454.0s)   
  41600/100000  (454.7s)   
  41650/100000  (455.4s)   
  41700/100000  (456.3s)   
  41750/100000  (456.9s)   
  41800/100000  (457.5s)   
  41850/100000  (458.0s)   
  41900/100000  (458.8s)   
  41950/100000  (459.1s)   
  42000/100000  (459.9s)   
  42050/100000  (460.4s)   
  42100/100000  (461.0s)   
  42150/100000  (461.7s)   
  42200/100000  (462.4s)   
  42250/100000  (463.0s)   
  42300/100000  (463.7s)   
  42350/100000  (464.0s)   
  42400/100000  (464.7s)   
  42450/100000  (465.1s)   
  42500/100000  (465.9s)   
  42550/100000  (466.6s)   
  42600/100000  (467.1s)   
  42650/100000  (467.9s)   
  42700/100000  (468.4s)   
  42750/100000  (469.2s)   
  42800/100000  (469.6s)   
  42850/100000  (470.7s)   
  42900/100000  (471.5s)   
  42950/100000  (472.0s)   
  43000/100000  (472.6s)   
  43050/100000  (473.1s)   
  43100/100000  (473.8s)   
  43150/100000  (474.2s)   
  43200/100000  (474.7s)   
  43250/100000  (475.4s)   
  43300/100000  (476.1s)   
  43350/100000  (476.7s)   
  43400/100000  (477.1s)   
  43450/100000  (477.7s)   
  43500/100000  (478.1s)   
  43550/100000  (478.8s)   
  43600/100000  (479.3s)   
  43650/100000  (479.6s)   
  43700/100000  (480.0s)   
  43750/100000  (480.8s)   
  43800/100000  (481.2s)   
  43850/100000  (481.9s)   
  43900/100000  (482.4s)   
  43950/100000  (483.5s)   
  44000/100000  (484.2s)   
  44050/100000  (484.9s)   
  44100/100000  (485.3s)   
  44150/100000  (486.0s)   
  44200/100000  (486.8s)   
  44250/100000  (487.2s)   
  44300/100000  (487.6s)   
  44350/100000  (488.1s)   
  44400/100000  (488.4s)   
  44450/100000  (489.1s)   
  44500/100000  (489.8s)   
  44550/100000  (490.3s)   
  44600/100000  (491.0s)   
  44650/100000  (491.5s)   
  44700/100000  (492.4s)   
  44750/100000  (492.9s)   
  44800/100000  (493.5s)   
  44850/100000  (493.8s)   
  44900/100000  (494.4s)   
  44950/100000  (494.9s)   
  45000/100000  (495.7s)   
  45050/100000  (496.1s)   
  45100/100000  (496.8s)   
  45150/100000  (497.3s)   
  45200/100000  (497.6s)   
  45250/100000  (498.1s)   
  45300/100000  (498.7s)   
  45350/100000  (499.1s)   
  45400/100000  (499.5s)   
  45450/100000  (499.8s)   
  45500/100000  (500.3s)   
  45550/100000  (501.3s)   
  45600/100000  (502.0s)   
  45650/100000  (502.4s)   
  45700/100000  (503.4s)   
  45750/100000  (503.7s)   
  45800/100000  (504.8s)   
  45850/100000  (505.5s)   
  45900/100000  (506.0s)   
  45950/100000  (506.5s)   
  46000/100000  (507.0s)   
  46050/100000  (507.9s)   
  46100/100000  (508.2s)   
  46150/100000  (508.8s)   
  46200/100000  (509.5s)   
  46250/100000  (510.1s)   
  46300/100000  (510.7s)   
  46350/100000  (511.2s)   
